event_id,incident_date,loss_usd,incident_type,target_type,chain,protocol_id,protocol_chains_count,protocol_chains_count_available_at,is_forked_from_parent,is_forked_from_parent_available_at,parent_fork_children_count,parent_fork_children_count_available_at,protocol_past_events_count,protocol_past_events_count_available_at
demo-0071,2022-10-04T00:00:00+00:00,333269.21,economic,bridge,arbitrum,protocol-17,2,2022-10-03T00:00:00+00:00,0,2022-10-03T00:00:00+00:00,0,2022-10-03T00:00:00+00:00,3,2022-10-03T00:00:00+00:00
demo-0072,2022-10-13T00:00:00+00:00,665614.24,oracle,dex,ethereum,protocol-00,1,2022-10-12T00:00:00+00:00,1,2022-10-12T00:00:00+00:00,0,2022-10-12T00:00:00+00:00,4,2022-10-12T00:00:00+00:00
demo-0073,2022-10-22T00:00:00+00:00,1948531.62,access-control,lending,arbitrum,protocol-01,2,2022-10-21T00:00:00+00:00,0,2022-10-21T00:00:00+00:00,0,2022-10-21T00:00:00+00:00,4,2022-10-21T00:00:00+00:00
demo-0074,2022-10-31T00:00:00+00:00,2193615.99,reentrancy,bridge,polygon,protocol-02,3,2022-10-30T00:00:00+00:00,0,2022-10-30T00:00:00+00:00,0,2022-10-30T00:00:00+00:00,4,2022-10-30T00:00:00+00:00
demo-0075,2022-11-09T00:00:00+00:00,14460228.13,economic,dex,bsc,protocol-03,4,2022-11-08T00:00:00+00:00,1,2022-11-08T00:00:00+00:00,3,2022-11-08T00:00:00+00:00,4,2022-11-08T00:00:00+00:00
demo-0076,2022-11-18T00:00:00+00:00,583520.73,oracle,lending,ethereum,protocol-04,1,2022-11-17T00:00:00+00:00,0,2022-11-17T00:00:00+00:00,0,2022-11-17T00:00:00+00:00,4,2022-11-17T00:00:00+00:00
demo-0077,2022-11-27T00:00:00+00:00,1461185.63,access-control,bridge,arbitrum,protocol-05,2,2022-11-26T00:00:00+00:00,0,2022-11-26T00:00:00+00:00,0,2022-11-26T00:00:00+00:00,4,2022-11-26T00:00:00+00:00
demo-0078,2022-12-06T00:00:00+00:00,6660811.19,reentrancy,dex,polygon,protocol-06,3,2022-12-05T00:00:00+00:00,1,2022-12-05T00:00:00+00:00,1,2022-12-05T00:00:00+00:00,4,2022-12-05T00:00:00+00:00
demo-0079,2022-12-15T00:00:00+00:00,2274010.21,economic,lending,bsc,protocol-07,4,2022-12-14T00:00:00+00:00,0,2022-12-14T00:00:00+00:00,0,2022-12-14T00:00:00+00:00,4,2022-12-14T00:00:00+00:00
demo-0080,2022-12-24T00:00:00+00:00,1237073.36,oracle,bridge,ethereum,protocol-08,1,2022-12-23T00:00:00+00:00,0,2022-12-23T00:00:00+00:00,0,2022-12-23T00:00:00+00:00,4,2022-12-23T00:00:00+00:00
demo-0081,2023-01-02T00:00:00+00:00,2297570.8,access-control,dex,arbitrum,protocol-09,2,2023-01-01T00:00:00+00:00,1,2023-01-01T00:00:00+00:00,4,2023-01-01T00:00:00+00:00,4,2023-01-01T00:00:00+00:00
demo-0082,2023-01-11T00:00:00+00:00,1427455.76,reentrancy,lending,polygon,protocol-10,3,2023-01-10T00:00:00+00:00,0,2023-01-10T00:00:00+00:00,0,2023-01-10T00:00:00+00:00,4,2023-01-10T00:00:00+00:00
demo-0083,2023-01-20T00:00:00+00:00,2138302.38,economic,bridge,bsc,protocol-11,4,2023-01-19T00:00:00+00:00,0,2023-01-19T00:00:00+00:00,0,2023-01-19T00:00:00+00:00,4,2023-01-19T00:00:00+00:00
demo-0084,2023-01-29T00:00:00+00:00,710366.49,oracle,dex,ethereum,protocol-12,1,2023-01-28T00:00:00+00:00,1,2023-01-28T00:00:00+00:00,2,2023-01-28T00:00:00+00:00,4,2023-01-28T00:00:00+00:00
demo-0085,2023-02-07T00:00:00+00:00,1931730.15,access-control,lending,arbitrum,protocol-13,2,2023-02-06T00:00:00+00:00,0,2023-02-06T00:00:00+00:00,0,2023-02-06T00:00:00+00:00,4,2023-02-06T00:00:00+00:00
demo-0086,2023-02-16T00:00:00+00:00,1304079.53,reentrancy,bridge,polygon,protocol-14,3,2023-02-15T00:00:00+00:00,0,2023-02-15T00:00:00+00:00,0,2023-02-15T00:00:00+00:00,4,2023-02-15T00:00:00+00:00
demo-0087,2023-02-25T00:00:00+00:00,5181576.96,economic,dex,bsc,protocol-15,4,2023-02-24T00:00:00+00:00,1,2023-02-24T00:00:00+00:00,0,2023-02-24T00:00:00+00:00,4,2023-02-24T00:00:00+00:00
demo-0088,2023-03-06T00:00:00+00:00,1262538.15,oracle,lending,ethereum,protocol-16,1,2023-03-05T00:00:00+00:00,0,2023-03-05T00:00:00+00:00,0,2023-03-05T00:00:00+00:00,4,2023-03-05T00:00:00+00:00
demo-0089,2023-03-15T00:00:00+00:00,1866455.06,access-control,bridge,arbitrum,protocol-17,2,2023-03-14T00:00:00+00:00,0,2023-03-14T00:00:00+00:00,0,2023-03-14T00:00:00+00:00,4,2023-03-14T00:00:00+00:00
demo-0090,2023-03-24T00:00:00+00:00,3743671.39,reentrancy,dex,ethereum,protocol-00,1,2023-03-23T00:00:00+00:00,1,2023-03-23T00:00:00+00:00,0,2023-03-23T00:00:00+00:00,5,2023-03-23T00:00:00+00:00
demo-0091,2023-04-02T00:00:00+00:00,1717340.34,economic,lending,arbitrum,protocol-01,2,2023-04-01T00:00:00+00:00,0,2023-04-01T00:00:00+00:00,0,2023-04-01T00:00:00+00:00,5,2023-04-01T00:00:00+00:00
demo-0092,2023-04-11T00:00:00+00:00,1983148.78,oracle,bridge,polygon,protocol-02,3,2023-04-10T00:00:00+00:00,0,2023-04-10T00:00:00+00:00,0,2023-04-10T00:00:00+00:00,5,2023-04-10T00:00:00+00:00
demo-0093,2023-04-20T00:00:00+00:00,10987178.07,access-control,dex,bsc,protocol-03,4,2023-04-19T00:00:00+00:00,1,2023-04-19T00:00:00+00:00,3,2023-04-19T00:00:00+00:00,5,2023-04-19T00:00:00+00:00
demo-0094,2023-04-29T00:00:00+00:00,292367.17,reentrancy,lending,ethereum,protocol-04,1,2023-04-28T00:00:00+00:00,0,2023-04-28T00:00:00+00:00,0,2023-04-28T00:00:00+00:00,5,2023-04-28T00:00:00+00:00
demo-0095,2023-05-08T00:00:00+00:00,545770.81,economic,bridge,arbitrum,protocol-05,2,2023-05-07T00:00:00+00:00,0,2023-05-07T00:00:00+00:00,0,2023-05-07T00:00:00+00:00,5,2023-05-07T00:00:00+00:00
demo-0096,2023-05-17T00:00:00+00:00,1859290.14,oracle,dex,polygon,protocol-06,3,2023-05-16T00:00:00+00:00,1,2023-05-16T00:00:00+00:00,1,2023-05-16T00:00:00+00:00,5,2023-05-16T00:00:00+00:00
demo-0097,2023-05-26T00:00:00+00:00,1853043.9,access-control,lending,bsc,protocol-07,4,2023-05-25T00:00:00+00:00,0,2023-05-25T00:00:00+00:00,0,2023-05-25T00:00:00+00:00,5,2023-05-25T00:00:00+00:00
demo-0098,2023-06-04T00:00:00+00:00,1723397.33,reentrancy,bridge,ethereum,protocol-08,1,2023-06-03T00:00:00+00:00,0,2023-06-03T00:00:00+00:00,0,2023-06-03T00:00:00+00:00,5,2023-06-03T00:00:00+00:00
demo-0099,2023-06-13T00:00:00+00:00,2731449.02,economic,dex,arbitrum,protocol-09,2,2023-06-12T00:00:00+00:00,1,2023-06-12T00:00:00+00:00,4,2023-06-12T00:00:00+00:00,5,2023-06-12T00:00:00+00:00
demo-0100,2023-06-22T00:00:00+00:00,2060711.42,oracle,lending,polygon,protocol-10,3,2023-06-21T00:00:00+00:00,0,2023-06-21T00:00:00+00:00,0,2023-06-21T00:00:00+00:00,5,2023-06-21T00:00:00+00:00
demo-0101,2023-07-01T00:00:00+00:00,13050591.98,access-control,bridge,bsc,protocol-11,4,2023-06-30T00:00:00+00:00,0,2023-06-30T00:00:00+00:00,0,2023-06-30T00:00:00+00:00,5,2023-06-30T00:00:00+00:00
demo-0102,2023-07-10T00:00:00+00:00,2120527.9,reentrancy,dex,ethereum,protocol-12,1,2023-07-09T00:00:00+00:00,1,2023-07-09T00:00:00+00:00,2,2023-07-09T00:00:00+00:00,5,2023-07-09T00:00:00+00:00
demo-0103,2023-07-19T00:00:00+00:00,3495154.83,economic,lending,arbitrum,protocol-13,2,2023-07-18T00:00:00+00:00,0,2023-07-18T00:00:00+00:00,0,2023-07-18T00:00:00+00:00,5,2023-07-18T00:00:00+00:00
demo-0104,2023-07-28T00:00:00+00:00,1285200.08,oracle,bridge,polygon,protocol-14,3,2023-07-27T00:00:00+00:00,0,2023-07-27T00:00:00+00:00,0,2023-07-27T00:00:00+00:00,5,2023-07-27T00:00:00+00:00
demo-0105,2023-08-06T00:00:00+00:00,6295704.14,access-control,dex,bsc,protocol-15,4,2023-08-05T00:00:00+00:00,1,2023-08-05T00:00:00+00:00,0,2023-08-05T00:00:00+00:00,5,2023-08-05T00:00:00+00:00
demo-0106,2023-08-15T00:00:00+00:00,547151.63,reentrancy,lending,ethereum,protocol-16,1,2023-08-14T00:00:00+00:00,0,2023-08-14T00:00:00+00:00,0,2023-08-14T00:00:00+00:00,5,2023-08-14T00:00:00+00:00
demo-0107,2023-08-24T00:00:00+00:00,1399774.75,economic,bridge,arbitrum,protocol-17,2,2023-08-23T00:00:00+00:00,0,2023-08-23T00:00:00+00:00,0,2023-08-23T00:00:00+00:00,5,2023-08-23T00:00:00+00:00
demo-0108,2023-09-02T00:00:00+00:00,6351883.35,oracle,dex,ethereum,protocol-00,1,2023-09-01T00:00:00+00:00,1,2023-09-01T00:00:00+00:00,0,2023-09-01T00:00:00+00:00,6,2023-09-01T00:00:00+00:00
demo-0109,2023-09-11T00:00:00+00:00,628931.51,access-control,lending,arbitrum,protocol-01,2,2023-09-10T00:00:00+00:00,0,2023-09-10T00:00:00+00:00,0,2023-09-10T00:00:00+00:00,6,2023-09-10T00:00:00+00:00
demo-0110,2023-09-20T00:00:00+00:00,6011952.31,reentrancy,bridge,polygon,protocol-02,3,2023-09-19T00:00:00+00:00,0,2023-09-19T00:00:00+00:00,0,2023-09-19T00:00:00+00:00,6,2023-09-19T00:00:00+00:00
